ApartmentName,Address,AgentName,AgentPhone,AgentEmail,Reviews,ZipCode,CrimeRate,AirQualityIndex,PopulationDensity,Store,Mall,DistanceGroceryStore,DistanceBusStop,DistanceMall,BathroomCount,BedroomCount,Size,Rent,Floor,RestaurantName,Type,Hospitals,HospType
Valston Heights,1052 moffat,Brena Thurman,(847) 237-6147,b.thurman@abc.com,3.6,76202,24,9,135,Store318,Mall318,7.6,2,2.2,2,2,4300,1665,2,Beggars Pizza,Pizzeria,MCLAREN MACOMB,Trauma centre
Flowerlea Tower,6511 oliphant,Myrvyn Hyberts,(551) 254-0660,m.hyberts@abc.com,1.1,71598,30,4,131,Store147,Mall147,4.5,5.3,1.8,2,2,3333,1825,2,Pandali Restaurant,Cafe,OAKLAWN HOSPITAL,Rehabilitation
Highston Apartment,8306 lakewood,Clair Verdinelli,(434) 697-3248,c.verdinelli@abc.com,3.8,77885,29,5,110,Store541,Mall541,8,2.5,3.7,2,3,4424,1899,3,Ponys Pub,Pub,MCLAREN MACOMB,Children's hospital
Meadowcliff Residency,420 natchez,Lisetta Freid,(660) 138-7113,l.freid@abc.com,4.9,75767,27,1,88,Store937,Mall937,8.4,2.4,7.9,1,1,3950,1626,4,Joshuas Cafe,Cafe,MIDMICHIGAN MEDICAL CENTER-MIDLAND,Geriatric
Merriwald Heights,3070 kolin,Zollie Orent,(786) 764-1691,z.orent@abc.com,2.2,73091,27,7,142,Store360,Mall360,9,1.9,4.3,2,2,2126,1195,4,Mangiamo Pizza,Pizzeria,MCLAREN GREATER LANSING,Psychiatric
Mallowvale Tower,2921 lsd belmont av,Marla Gilles,(817) 628-4953,m.gilles@abc.com,3.8,74495,19,6,83,Store583,Mall583,1.4,1.9,1.5,1,1,3374,2099,4,Candlelight Tavern,Cafe,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,Trauma centre
Shadowdell Apartment,5749 wieland,Demetrius Takaesu,(937) 288-2960,d.takaesu@abc.com,5,73304,11,2,70,Store799,Mall799,10,4.4,8.6,2,3,2768,2152,2,A & R Bakery,Bakery,MIDMICHIGAN MEDICAL CENTER-CLARE,Rehabilitation
Meadowgate Residency,3049 ellis,Lizzie Laver,(801) 504-7147,l.laver@abc.com,4.6,76157,24,3,134,Store909,Mall909,7.1,7.2,9.1,2,2,3516,1100,2,Hotel Roosevelt,FineDining,HENRY FORD WYANDOTTE HOSPITAL,Children's hospital
Drachall Heights,2421 oakview,Arnuad Hanrieder,(765) 363-0538,a.hanrieder@abc.com,5,71817,7,11,175,Store712,Mall712,9.1,8.3,1.7,2,3,3427,1595,2,Grammies Place,Takeout,MCLAREN GREATER LANSING,Geriatric
Fayvale Tower,4626 dan ryan 95th st,Fleming Mitra,(630) 802-9812,f.mitra@abc.com,3.9,77603,28,7,172,Store387,Mall387,8.8,9.8,9.4,2,2,2848,1893,2,Kikkos Koffee House,Coffehouse,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,Psychiatric
Goldwick Apartment,3120 jarvis,Onofredo Andolina,(308) 207-5846,o.andolina@abc.com,4,72666,30,4,86,Store601,Mall601,2.1,1.5,8,1,1,3826,1907,3,Staybridge Suites Dia,Hotel,ST JOSEPH MERCY HOSPITAL,Trauma centre
Corfield Residency,8497 wisconsin,Terese Steinman,(938) 681-6554,t.steinman@abc.com,4.7,71727,8,12,128,Store366,Mall366,7.7,9,9.2,2,3,3888,1073,4,Groovy Granola,Hotel,SPARROW CARSON HOSPITAL,Rehabilitation
Raynesse Heights,4087 cermak,Burnaby Vitali,(469) 175-0628,b.vitali@abc.com,3,74290,17,6,83,Store457,Mall457,8.6,7.9,8,1,1,2691,824,2,Watkins Glen State Park Lower Gorge Snack,Cafe,MCLAREN OAKLAND,Children's hospital
Lorham Tower,6973 dan ryan franklin,Elka Beltranena,(404) 547-2097,e.beltranena@abc.com,2.1,73541,10,4,90,Store799,Mall799,6.2,9.4,2.7,1,1,3226,1618,3,Cool Beans Playhouse ,Cafe,HENRY FORD WYANDOTTE HOSPITAL,Geriatric
